UTR_Number,Settlement_Date,Deposit_Amount,Description
UTR-9000,2026-08-02,317.74,SETTLEMENT TXN-1000
UTR-9001,2026-08-03,169.64,SETTLEMENT TXN-1001
UTR-9002,2026-08-05,209.31,RZP-SETTLEMENT (NET)
UTR-9004,2026-08-09,217.47,SETTLEMENT TXN-1004
UTR-9005,2026-08-07,372.25,SETTLEMENT TXN-1005
UTR-9006,2026-08-04,318.94,SETTLEMENT TXN-1006
UTR-9007,2026-08-06,198.99,SETTLEMENT TXN-1007
UTR-9008,2026-08-02,124.03,RZP-SETTLEMENT (NET)
UTR-9009,2026-08-07,171.16,SETTLEMENT TXN-1009
UTR-9010,2026-08-04,81.53,SETTLEMENT TXN-1010
UTR-9011,2026-08-02,379.21,SETTLEMENT TXN-1011
UTR-9012,2026-08-08,115.45,SETTLEMENT TXN-1012
UTR-9013,2026-08-03,295.65,SETTLEMENT TXN-1013
UTR-9014,2026-08-02,445.5,SETTLEMENT TXN-1014
UTR-9015,2026-08-03,372.66,SETTLEMENT TXN-1015
UTR-9016,2026-08-04,214.68,SETTLEMENT TXN-1016
UTR-9017,2026-08-09,343.88,SETTLEMENT TXN-1017
UTR-9018,2026-08-07,372.43,SETTLEMENT TXN-1018
UTR-9020,2026-08-04,183.4,SETTLEMENT TXN-1020
UTR-9021,2026-08-06,36.38,SETTLEMENT TXN-1021
UTR-9023,2026-08-04,162.87,SETTLEMENT TXN-1023
UTR-9024,2026-08-05,358.25,SETTLEMENT TXN-1024
UTR-9025,2026-08-05,91.3,SETTLEMENT TXN-1025
UTR-9026,2026-08-09,271.38,SETTLEMENT TXN-1026
UTR-9027,2026-08-05,412.26,SETTLEMENT TXN-1027
UTR-9028,2026-08-04,20.51,SETTLEMENT TXN-1028
UTR-9029,2026-08-06,433.6,SETTLEMENT TXN-1029
UTR-9030,2026-08-05,381.03,SETTLEMENT TXN-1030
UTR-9031,2026-08-07,419.04,RZP-SETTLEMENT (NET)
UTR-9032,2026-08-09,28.78,SETTLEMENT TXN-1032
UTR-9033,2026-08-06,258.99,SETTLEMENT TXN-1033
UTR-9034,2026-08-04,156.28,RZP-SETTLEMENT (NET)
UTR-9035,2026-08-05,204.49,SETTLEMENT TXN-1035
UTR-9037,2026-08-07,66.28,SETTLEMENT TXN-1037
UTR-9038,2026-08-05,169.13,SETTLEMENT TXN-1038
UTR-9039,2026-08-07,152.02,SETTLEMENT TXN-1039
UTR-9040,2026-08-02,206.32,RZP-SETTLEMENT (NET)
UTR-9041,2026-08-05,489.57,SETTLEMENT TXN-1041
UTR-9042,2026-08-05,154.03,SETTLEMENT TXN-1042
UTR-9043,2026-08-05,153.16,SETTLEMENT TXN-1043
UTR-9044,2026-08-09,189.38,SETTLEMENT TXN-1044
UTR-9045,2026-08-06,451.89,SETTLEMENT TXN-1045
UTR-9047,2026-08-04,123.5,SETTLEMENT TXN-1047
UTR-9048,2026-08-05,248.0,SETTLEMENT TXN-1048
UTR-9049,2026-08-05,70.55,SETTLEMENT TXN-1049
UTR-9050,2026-08-04,56.15,RZP-SETTLEMENT (NET)
UTR-9051,2026-08-05,267.56,RZP-SETTLEMENT (NET)
UTR-9052,2026-08-02,291.76,RZP-SETTLEMENT (NET)
UTR-9053,2026-08-08,339.29,RZP-SETTLEMENT (NET)
UTR-9054,2026-08-05,265.55,SETTLEMENT TXN-1054
UTR-9055,2026-08-07,226.97,SETTLEMENT TXN-1055
UTR-9056,2026-08-04,201.24,SETTLEMENT TXN-1056
UTR-9057,2026-08-03,358.17,SETTLEMENT TXN-1057
UTR-9058,2026-08-06,56.45,RZP-SETTLEMENT (NET)
UTR-9059,2026-08-08,175.23,SETTLEMENT TXN-1059
UTR-9060,2026-08-03,471.12,SETTLEMENT TXN-1060
UTR-9061,2026-08-04,239.68,SETTLEMENT TXN-1061
UTR-9062,2026-08-03,131.07,RZP-SETTLEMENT (NET)
UTR-9063,2026-08-07,204.45,SETTLEMENT TXN-1063
UTR-9064,2026-08-08,113.15,SETTLEMENT TXN-1064
UTR-9066,2026-08-04,454.82,SETTLEMENT TXN-1066
UTR-9067,2026-08-08,26.16,SETTLEMENT TXN-1067
UTR-9068,2026-08-08,359.64,RZP-SETTLEMENT (NET)
UTR-9069,2026-08-06,362.28,SETTLEMENT TXN-1069
UTR-9070,2026-08-02,386.99,SETTLEMENT TXN-1070
UTR-9071,2026-08-02,208.7,SETTLEMENT TXN-1071
UTR-9072,2026-08-07,451.85,SETTLEMENT TXN-1072
UTR-9073,2026-08-07,166.92,SETTLEMENT TXN-1073
UTR-9074,2026-08-05,487.35,SETTLEMENT TXN-1074
UTR-9075,2026-08-02,104.95,SETTLEMENT TXN-1075
UTR-9076,2026-08-03,337.76,SETTLEMENT TXN-1076
UTR-9077,2026-08-05,84.93,SETTLEMENT TXN-1077
UTR-9078,2026-08-05,331.09,SETTLEMENT TXN-1078
UTR-9079,2026-08-09,74.87,SETTLEMENT TXN-1079
UTR-9080,2026-08-09,90.58,RZP-SETTLEMENT (NET)
UTR-9081,2026-08-06,152.6,SETTLEMENT TXN-1081
UTR-9082,2026-08-06,137.56,SETTLEMENT TXN-1082
UTR-9083,2026-08-06,337.79,SETTLEMENT TXN-1083
UTR-9084,2026-08-07,347.93,SETTLEMENT TXN-1084
UTR-9085,2026-08-07,392.74,SETTLEMENT TXN-1085
UTR-9086,2026-08-08,188.56,RZP-SETTLEMENT (NET)
UTR-9087,2026-08-07,64.62,SETTLEMENT TXN-1087
UTR-9088,2026-08-06,237.13,RZP-SETTLEMENT (NET)
UTR-9089,2026-08-08,393.1,SETTLEMENT TXN-1089
UTR-9090,2026-08-08,433.03,SETTLEMENT TXN-1090
UTR-9091,2026-08-04,231.89,SETTLEMENT TXN-1091
UTR-9092,2026-08-02,392.32,SETTLEMENT TXN-1092
UTR-9093,2026-08-06,297.88,SETTLEMENT TXN-1093
UTR-9094,2026-08-07,319.38,SETTLEMENT TXN-1094
UTR-9095,2026-08-07,464.28,SETTLEMENT TXN-1095
UTR-9096,2026-08-02,11.66,SETTLEMENT TXN-1096
UTR-9097,2026-08-02,334.39,SETTLEMENT TXN-1097
UTR-9098,2026-08-08,347.3,SETTLEMENT TXN-1098
UTR-9099,2026-08-05,69.53,SETTLEMENT TXN-1099
UTR-BATCH-999,2026-08-05,147.0,WEEKEND-BATCH-SETTLEMENT
