Transaction_ID,Date,Amount,Customer_Name
TXN-1000,2026-08-01,317.74,Customer_0
TXN-1001,2026-08-02,169.64,Customer_1
TXN-1002,2026-08-04,213.58,Customer_2
TXN-1003,2026-08-02,447.96,Customer_3
TXN-1004,2026-08-08,217.47,Customer_4
TXN-1005,2026-08-06,372.25,Customer_5
TXN-1006,2026-08-03,318.94,Customer_6
TXN-1007,2026-08-05,198.99,Customer_7
TXN-1008,2026-08-01,126.56,Customer_8
TXN-1009,2026-08-06,171.16,Customer_9
TXN-1010,2026-08-03,81.53,Customer_10
TXN-1011,2026-08-01,379.21,Customer_11
TXN-1012,2026-08-07,115.45,Customer_12
TXN-1013,2026-08-02,295.65,Customer_13
TXN-1014,2026-08-01,445.5,Customer_14
TXN-1015,2026-08-02,372.66,Customer_15
TXN-1016,2026-08-03,214.68,Customer_16
TXN-1017,2026-08-08,343.88,Customer_17
TXN-1018,2026-08-06,372.43,Customer_18
TXN-1019,2026-08-03,421.2,Customer_19
TXN-1020,2026-08-03,183.4,Customer_20
TXN-1021,2026-08-05,36.38,Customer_21
TXN-1022,2026-08-01,407.56,Customer_22
TXN-1023,2026-08-03,162.87,Customer_23
TXN-1024,2026-08-04,358.25,Customer_24
TXN-1025,2026-08-04,91.3,Customer_25
TXN-1026,2026-08-08,271.38,Customer_26
TXN-1027,2026-08-04,412.26,Customer_27
TXN-1028,2026-08-03,20.51,Customer_28
TXN-1029,2026-08-05,433.6,Customer_29
TXN-1030,2026-08-04,381.03,Customer_30
TXN-1031,2026-08-06,427.59,Customer_31
TXN-1032,2026-08-08,28.78,Customer_32
TXN-1033,2026-08-05,258.99,Customer_33
TXN-1034,2026-08-03,159.47,Customer_34
TXN-1035,2026-08-04,204.49,Customer_35
TXN-1036,2026-08-04,25.47,Customer_36
TXN-1037,2026-08-06,66.28,Customer_37
TXN-1038,2026-08-04,169.13,Customer_38
TXN-1039,2026-08-06,152.02,Customer_39
TXN-1040,2026-08-01,210.53,Customer_40
TXN-1041,2026-08-04,489.57,Customer_41
TXN-1042,2026-08-04,154.03,Customer_42
TXN-1043,2026-08-04,153.16,Customer_43
TXN-1044,2026-08-08,189.38,Customer_44
TXN-1045,2026-08-05,451.89,Customer_45
TXN-1046,2026-08-06,360.45,Customer_46
TXN-1047,2026-08-03,123.5,Customer_47
TXN-1048,2026-08-04,248.0,Customer_48
TXN-1049,2026-08-04,70.55,Customer_49
TXN-1050,2026-08-03,57.3,Customer_50
TXN-1051,2026-08-04,273.02,Customer_51
TXN-1052,2026-08-01,297.71,Customer_52
TXN-1053,2026-08-07,346.21,Customer_53
TXN-1054,2026-08-04,265.55,Customer_54
TXN-1055,2026-08-06,226.97,Customer_55
TXN-1056,2026-08-03,201.24,Customer_56
TXN-1057,2026-08-02,358.17,Customer_57
TXN-1058,2026-08-05,57.6,Customer_58
TXN-1059,2026-08-07,175.23,Customer_59
TXN-1060,2026-08-02,471.12,Customer_60
TXN-1061,2026-08-03,239.68,Customer_61
TXN-1062,2026-08-02,133.75,Customer_62
TXN-1063,2026-08-06,204.45,Customer_63
TXN-1064,2026-08-07,113.15,Customer_64
TXN-1065,2026-08-02,242.17,Customer_65
TXN-1066,2026-08-03,454.82,Customer_66
TXN-1067,2026-08-07,26.16,Customer_67
TXN-1068,2026-08-07,366.98,Customer_68
TXN-1069,2026-08-05,362.28,Customer_69
TXN-1070,2026-08-01,386.99,Customer_70
TXN-1071,2026-08-01,208.7,Customer_71
TXN-1072,2026-08-06,451.85,Customer_72
TXN-1073,2026-08-06,166.92,Customer_73
TXN-1074,2026-08-04,487.35,Customer_74
TXN-1075,2026-08-01,104.95,Customer_75
TXN-1076,2026-08-02,337.76,Customer_76
TXN-1077,2026-08-04,84.93,Customer_77
TXN-1078,2026-08-04,331.09,Customer_78
TXN-1079,2026-08-08,74.87,Customer_79
TXN-1080,2026-08-08,92.43,Customer_80
TXN-1081,2026-08-05,152.6,Customer_81
TXN-1082,2026-08-05,137.56,Customer_82
TXN-1083,2026-08-05,337.79,Customer_83
TXN-1084,2026-08-06,347.93,Customer_84
TXN-1085,2026-08-06,392.74,Customer_85
TXN-1086,2026-08-07,192.41,Customer_86
TXN-1087,2026-08-06,64.62,Customer_87
TXN-1088,2026-08-05,241.97,Customer_88
TXN-1089,2026-08-07,393.1,Customer_89
TXN-1090,2026-08-07,433.03,Customer_90
TXN-1091,2026-08-03,231.89,Customer_91
TXN-1092,2026-08-01,392.32,Customer_92
TXN-1093,2026-08-05,297.88,Customer_93
TXN-1094,2026-08-06,319.38,Customer_94
TXN-1095,2026-08-06,464.28,Customer_95
TXN-1096,2026-08-01,11.66,Customer_96
TXN-1097,2026-08-01,334.39,Customer_97
TXN-1098,2026-08-07,347.3,Customer_98
TXN-1099,2026-08-04,69.53,Customer_99
TXN-BATCH-1,2026-08-03,50.0,Batch_1
TXN-BATCH-2,2026-08-03,50.0,Batch_2
TXN-BATCH-3,2026-08-03,50.0,Batch_3
